Bigrammes :
("l'Encyclopaedia", 'Galactica,'): 1 
('Galactica,', 'Terminus,'): 1 
('Terminus,', 'avec'): 1 
('avec', "l'aimable"): 1 
("l'aimable", 'autorisation'): 1 
('autorisation', 'des'): 1 
('des', 'éditeurs.'): 1 
('éditeurs.', 'semblerait'): 1 
('semblerait', 'malgré'): 1 
('malgré', 'tout'): 1 
('tout', 'qu’il'): 1 
('qu’il', 'puisse'): 1 
('puisse', 'encore'): 1 
('encore', 'arriver'): 1 
('arriver', 'des'): 1 
('des', 'choses'): 1 
('choses', 'intéressantes.'): 1 
('intéressantes.', 'Du'): 1 
('Du', 'moins,'): 1 
('moins,', 'à'): 1 
('à', 'ce'): 2 
('ce', 'que'): 4 
('que', 'j’ai'): 3 
('j’ai', 'entendu'): 1 
('entendu', 'dire.'): 1 
('dire.', '—'): 1 
('—', 'Par'): 1 
('Par', 'le'): 1 
('le', 'ministre'): 2 
('ministre', 'des'): 2 
('des', 'Sciences'): 1 
('Sciences', '?'): 1 
('?', '—'): 19 
('—', 'Effectivement.'): 1 
('Effectivement.', 'Il'): 1 
('Il', 'm’a'): 1 
('m’a', 'appris'): 1 
('appris', 'que'): 1 
('que', 'ce'): 3 
('ce', 'Hari'): 1 
('Seldon', 'a'): 1 
('a', 'assisté'): 1 
('assisté', 'à'): 1 
('à', 'un'): 1 
('un', 'congrès'): 1 
('congrès', 'de'): 1 
('de', 'mathématiciens'): 1 
('mathématiciens', 'ici'): 1 
('ici', 'même,'): 1 
('même,', 'à'): 1 
('à', 'Trantor'): 1 
('Trantor', '–'): 2 
('–', 'ils'): 1 
('ils', 'l’organisent'): 1 
('l’organisent', 'tous'): 1 
('tous', 'les'): 4 
('les', 'dix'): 1 
('dix', 'ans,'): 1 
('ans,', 'pour'): 1 
('pour', 'je'): 1 
('je', 'ne'): 2 
('ne', 'sais'): 1 
('sais', 'quelle'): 1 
('quelle', 'raison'): 1 
('raison', ';'): 1 
(';', 'il'): 4 
('il', 'aurait'): 1 
('aurait', 'démontré'): 1 
('démontré', 'qu’on'): 1 
('qu’on', 'peut'): 1 
('peut', 'prévoir'): 1 
('prévoir', 'mathématiquement'): 1 
('mathématiquement', 'l’avenir.'): 1 
('l’avenir.', '»'): 1 
('»', 'Demerzel'): 1 
('Demerzel', 'se'): 1 
('se', 'permit'): 1 
('permit', 'un'): 1 
('un', 'petit'): 2 
('petit', 'sourire.'): 1 
('sourire.', '«'): 1 
('«', 'Ou'): 1 
('Ou', 'le'): 1 
('des', 'Sciences,'): 1 
('Sciences,', 'homme'): 1 
('homme', 'sans'): 1 
('sans', 'grande'): 1 
('grande', 'jugeote,'): 1 
('jugeote,', 'a'): 1 
('a', 'été'): 1 
('été', 'induit'): 1 
('induit', 'en'): 1 
('en', 'erreur,'): 1 
('erreur,', 'ou'): 1 
('ou', 'ce'): 1 
('ce', 'mathématicien'): 1 
('mathématicien', 's’est'): 1 
('s’est', 'trompé.'): 1 
('trompé.', 'Il'): 1 
('Il', 'ne'): 3 
('ne', 'fait'): 1 
('fait', 'aucun'): 2 
('doute', 'que'): 1 
('que', 'cette'): 3 
('cette', 'histoire'): 1 
('histoire', 'de'): 1 
('de', 'prédiction'): 1 
('prédiction', 'de'): 2 
('de', 'l’avenir'): 2 
('l’avenir', 'relève'): 1 
('relève', 'd’un'): 1 
('d’un', 'puéril'): 1 
('puéril', 'rêve'): 1 
('rêve', 'de'): 1 
('de', 'magie.'): 1 
('magie.', '—'): 1 
('—', 'En'): 1 
('En', 'êtes-vous'): 1 
('êtes-vous', 'sûr,'): 1 
('sûr,', 'Demerzel'): 1 
('Demerzel', '?'): 3 
('?', 'Les'): 2 
('Les', 'gens'): 2 
('gens', 'croient'): 2 
('croient', 'ce'): 1 
('ce', 'genre'): 3 
('genre', 'de'): 3 
('de', 'chose.'): 1 
('chose.', '—'): 1 
('—', 'Les'): 3 
('croient', 'bien'): 1 
('bien', 'des'): 2 
('des', 'choses,'): 1 
('choses,', 'Sire'): 1 
('Sire', '!'): 2 
('!', '—'): 2 
('—', 'Mais'): 5 
('Mais', 'particulièrement'): 1 
('particulièrement', 'celle-ci.'): 1 
('celle-ci.', 'Par'): 1 
('Par', 'conséquent,'): 1 
('conséquent,', 'peu'): 1 
('peu', 'importe'): 1 
('importe', 'que'): 1 
('la', 'prédiction'): 2 
('l’avenir', 'soit'): 1 
('soit', 'ou'): 1 
('ou', 'non'): 1 
('non', 'une'): 1 
('une', 'réalité,'): 1 
('réalité,', 'n’est-ce'): 1 
('n’est-ce', 'pas'): 2 
('pas', '?'): 3 
('?', 'Si'): 1 
('Si', 'un'): 1 
('un', 'mathématicien'): 1 
('mathématicien', 'devait'): 1 
('devait', 'me'): 1 
('me', 'prédire'): 1 
('prédire', 'un'): 1 
('un', 'règne'): 1 
('règne', 'long'): 1 
('long', 'et'): 1 
('et', 'heureux,'): 1 
('heureux,', 'et'): 1 
('et', 'pour'): 1 
('pour', 'l’Empire'): 2 
('l’Empire', 'une'): 1 
('une', 'ère'): 1 
('ère', 'de'): 1 
('de', 'paix'): 1 
('paix', 'et'): 2 
('et', 'de'): 5 
('de', 'prospérité...'): 1 
('prospérité...', 'eh'): 1 
('eh', 'bien,'): 1 
('bien,', 'ne'): 1 
('ne', 'serait-ce'): 1 
('serait-ce', 'pas'): 1 
('pas', 'une'): 1 
('une', 'bonne'): 1 
('bonne', 'chose'): 1 
('chose', '?'): 1 
('—', 'Ce'): 2 
('Ce', 'serait'): 1 
('serait', 'assurément'): 1 
('assurément', 'agréable'): 1 
('agréable', 'à'): 1 
('à', 'entendre,'): 1 
('entendre,', 'mais'): 1 
('mais', 'ça'): 1 
('ça', 'nous'): 1 
('nous', 'avancerait'): 1 
('avancerait', 'à'): 1 
('à', 'quoi,'): 1 
('quoi,', 'Sire'): 1 
('Sire', '?'): 1 
('—', 'Eh'): 4 
('Eh', 'bien,'): 4 
('bien,', 'si'): 2 
('si', 'les'): 2 
('les', 'gens'): 3 
('gens', 'croyaient'): 1 
('croyaient', 'ça,'): 1 
('ça,', 'ils'): 1 
('ils', 'agiraient'): 1 
('agiraient', 'certainement'): 1 
('certainement', 'selon'): 1 
('selon', 'cette'): 1 
('cette', 'croyance.'): 1 
('croyance.', 'Bien'): 1 
('Bien', 'des'): 1 
('des', 'prophéties,'): 1 
('prophéties,', 'par'): 1 
('la', 'seule'): 1 
('seule', 'force'): 1 
('force', 'de'): 1 
('la', 'croyance'): 1 
('croyance', 'qu’elles'): 1 
('qu’elles', 'engendrent,'): 1 
('engendrent,', 'se'): 1 
('se', 'sont'): 1 
('sont', 'muées'): 1 
('muées', 'en'): 1 
('en', 'réalité.'): 1 
('réalité.', 'Ce'): 1 
('Ce', 'sont'): 1 
('sont', 'ce'): 1 
('ce', 'qu’on'): 1 
